top - 11:18:00 up 12 min,  1 user,  load average: 0.66, 0.39, 0.30
Tasks: 354 total,   4 running, 350 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.3 us, 50.0 sy,  0.0 ni, 25.0 id, 13.3 wa,  0.0 hi,  3.3 si,  0.0 st
MiB Mem :   3878.7 total,   1955.7 free,   1502.7 used,    687.1 buff/cache
MiB Swap:    975.0 total,    975.0 free,      0.0 used.   2376.0 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
BLACKLISTED:    1976 kali      20   0  385148   9936   7168 S   0.0   0.3   0:00.01 at-spi-+
BLACKLISTED:    1983 kali      20   0    9368   4736   4224 S   0.0   0.1   0:00.07 dbus-da+
BLACKLISTED:    1990 kali      20   0  162756   6784   6144 S   0.0   0.2   0:00.01 gcr-ssh+
BLACKLISTED:    1991 kali      20   0   89500   7384   4864 S   0.0   0.2   0:00.01 gnome-s+
BLACKLISTED:    2006 kali      20   0  995880  22204  15360 S   0.0   0.6   0:00.33 gnome-s+
BLACKLISTED:    2065 kali      20   0  230212   5376   4992 S   0.0   0.1   0:00.03 dconf-s+
BLACKLISTED:    2093 kali      20   0  652276  91264  66164 S   0.0   2.3   0:01.00 mutter-+
BLACKLISTED:    2109 kali      20   0  311100   8820   6272 S   0.0   0.2   0:00.01 xdg-per+
BLACKLISTED:    2111 kali      20   0  655088  19260  14848 S   0.0   0.5   0:00.08 gnome-s+
BLACKLISTED:    2122 kali      20   0  593180  45808  35456 S   0.0   1.2   0:00.29 evoluti+
BLACKLISTED:    2146 kali      20   0  889104  29448  20224 S   0.0   0.7   0:00.30 evoluti+
BLACKLISTED:    2157 kali      20   0 2597192  28444  21632 S   0.0   0.7   0:00.24 gjs
BLACKLISTED:    2177 kali      20   0  750480  32948  25088 S   0.0   0.8   0:00.17 evoluti+
BLACKLISTED:    2198 kali      20   0  386200  10476   7552 S   0.0   0.3   0:00.07 gvfsd-t+
BLACKLISTED:    2214 kali      20   0  238348   9912   7168 S   0.0   0.2   0:00.14 at-spi2+
BLACKLISTED:    2222 kali      20   0  460360  11684   6656 S   0.0   0.3   0:00.59 ibus-da+
BLACKLISTED:    2223 kali      20   0  381464   8352   5888 S   0.0   0.2   0:00.04 gsd-a11+
BLACKLISTED:    2228 kali      20   0  417104  28544  17408 S   0.0   0.7   0:00.30 gsd-col+
BLACKLISTED:    2233 kali      20   0  429988  13724  10496 S   0.0   0.3   0:00.07 gsd-dat+
BLACKLISTED:    2236 kali      20   0  456872   9612   6912 S   0.0   0.2   0:00.06 gsd-hou+
BLACKLISTED:    2241 kali      20   0  489772  28148  17024 S   0.0   0.7   0:00.34 gsd-key+
